mean_predicted_probability,observed_late_rate,calibration_gap
0.0752191528048477,0.010366275051831375,-0.06485287775301632
0.1261340123861925,0.01796821008984105,-0.10816580229635146
0.16649051984796545,0.033863165169315826,-0.1326273546786496
0.20338625656659837,0.03941908713692946,-0.1639671694296689
0.2372822927641885,0.05597788527988943,-0.18130440748429907
0.2742487183091718,0.07049067035245335,-0.20375804795671845
0.31550337464895156,0.08022130013831259,-0.23528207451063898
0.3639222040782736,0.10642709053213545,-0.25749511354613813
0.43659934362379865,0.12923289564616447,-0.3073664479776342
0.5937171847802157,0.11402902557014513,-0.4796881592100706
