,missing,missing_pct
mean_product_photos,1331,1.3799896319336444
max_distance_km,476,0.4935199585277346
min_distance_km,476,0.4935199585277346
mean_distance_km,476,0.4935199585277346
mean_product_weight_g,16,0.01658890616899948
mean_product_volume_cm3,16,0.01658890616899948
payment_records,1,0.0010368066355624676
order_delivered_carrier_date,1,0.0010368066355624676
max_installments,1,0.0010368066355624676
payment_value,1,0.0010368066355624676
payment_type_count,1,0.0010368066355624676
payment_type,1,0.0010368066355624676
