dataset,rows,columns,memory_mb
geolocation,1000163,5,50.12243366241455
order_items,112650,7,18.37089729309082
payments,103886,5,8.105393409729004
customers,99441,5,11.033575057983398
orders,99441,8,21.94675350189209
reviews,99224,7,17.84240436553955
products,32951,9,3.7335710525512695
sellers,3095,4,0.224945068359375
category_translation,71,2,0.0034465789794921875
