config_id,model_family,fold,fit_seconds,train_rows,validation_rows,train_late_rate,validation_late_rate,pr_auc,roc_auc,precision,recall,f1,accuracy,positive_rate,threshold
logistic_regression_01,logistic_regression,1,1.3332786789978854,40991,10248,0.06681954575394598,0.0625487900078064,0.08589757485837798,0.6076013541218239,0.25,0.0015600624024961,0.0031007751937984496,0.937256049960968,0.00039032006245121,0.5
logistic_regression_01,logistic_regression,2,1.528039575998264,51239,10248,0.06596537793477625,0.20735753317720532,0.3735794431072451,0.6881202105857732,1.0,0.002352941176470588,0.004694835680751174,0.7931303669008587,0.0004879000780640125,0.5
logistic_regression_01,logistic_regression,3,2.2181656519969692,61487,10248,0.08953112039943403,0.07542935206869633,0.22294943974855835,0.750163260708544,0.3451086956521739,0.16429495472186287,0.22261174408413673,0.9134465261514442,0.03590944574551132,0.5
logistic_regression_01,logistic_regression,4,2.6197969889981323,71735,10247,0.08751655398341117,0.05787059627207963,0.19179471883987823,0.7983980986657752,0.0,0.0,0.0,0.9421294037279203,0.0,0.5
logistic_regression_02,logistic_regression,1,1.7750265040012891,40991,10248,0.06681954575394598,0.0625487900078064,0.08534384308085863,0.6015319367849138,0.07445008460236886,0.2745709828393136,0.11713810316139767,0.7411202185792349,0.2306791569086651,0.5
logistic_regression_02,logistic_regression,2,2.833272265001142,51239,10248,0.06596537793477625,0.20735753317720532,0.3529300754600864,0.6756561397918764,0.2772223232139611,0.7176470588235294,0.3999475478625754,0.5534738485558157,0.5367876658860266,0.5
logistic_regression_02,logistic_regression,3,2.8673122100008186,61487,10248,0.08953112039943403,0.07542935206869633,0.21418411941094875,0.7491324278843693,0.08259170827002388,0.9844760672703752,0.15239811755281865,0.17398516783762685,0.8991022638563623,0.5
logistic_regression_02,logistic_regression,4,4.083813819997886,71735,10247,0.08751655398341117,0.05787059627207963,0.18321950651120533,0.7929493703035659,0.1676706827309237,0.5632377740303541,0.2584139264990329,0.8129208548843564,0.19439836049575485,0.5
logistic_regression_03,logistic_regression,1,1.8034345999985817,40991,10248,0.06681954575394598,0.0625487900078064,0.0840372551895518,0.6033422392376074,0.16666666666666666,0.0015600624024961,0.0030911901081916537,0.9370608899297423,0.000585480093676815,0.5
logistic_regression_03,logistic_regression,2,1.849473146998207,51239,10248,0.06596537793477625,0.20735753317720532,0.3705242033550816,0.6846434887139639,0.9,0.0042352941176470585,0.008430913348946136,0.7934231069476971,0.000975800156128025,0.5
logistic_regression_03,logistic_regression,3,2.2483564959984506,61487,10248,0.08953112039943403,0.07542935206869633,0.21846232138337615,0.7485667669054876,0.32273838630806845,0.17076326002587322,0.2233502538071066,0.9104215456674473,0.039910226385636224,0.5
logistic_regression_03,logistic_regression,4,3.068781398003921,71735,10247,0.08751655398341117,0.05787059627207963,0.189597290092641,0.7955113713579217,0.0,0.0,0.0,0.9420318141895189,9.758953840148337e-05,0.5
logistic_regression_04,logistic_regression,1,4.259531386996969,40991,10248,0.06681954575394598,0.0625487900078064,0.08461135962678207,0.5994973763767871,0.07210300429184549,0.2620904836193448,0.1130932346011444,0.7428766588602654,0.22736143637782982,0.5
logistic_regression_04,logistic_regression,2,4.360884886998974,51239,10248,0.06596537793477625,0.20735753317720532,0.3480398613798431,0.6720751967905221,0.2738910926794086,0.7148235294117647,0.39603702255247036,0.547911787665886,0.5411787665886026,0.5
logistic_regression_04,logistic_regression,3,5.370732811999915,61487,10248,0.08953112039943403,0.07542935206869633,0.21009892481325548,0.7470205176692255,0.08271578029642546,0.981888745148771,0.15257814855764398,0.17730288836846214,0.8953942232630757,0.5
logistic_regression_04,logistic_regression,4,5.354499604996818,71735,10247,0.08751655398341117,0.05787059627207963,0.17949052664275866,0.7897029811581915,0.1650919940328195,0.5598650927487352,0.25499231950844853,0.8106762955011223,0.19625256172538305,0.5
logistic_regression_05,logistic_regression,1,2.225866603999748,40991,10248,0.06681954575394598,0.0625487900078064,0.08558047273633257,0.6063592476040043,0.125,0.0015600624024961,0.0030816640986132513,0.9368657298985168,0.00078064012490242,0.5
logistic_regression_05,logistic_regression,2,2.2241320210014237,51239,10248,0.06596537793477625,0.20735753317720532,0.36764845425652803,0.683284790464259,0.9090909090909091,0.004705882352941176,0.009363295880149813,0.7935206869633099,0.0010733801717408276,0.5
logistic_regression_05,logistic_regression,3,2.6848116769979242,61487,10248,0.08953112039943403,0.07542935206869633,0.21598769318737285,0.7477769168541167,0.3251231527093596,0.17076326002587322,0.22391857506361323,0.9107142857142857,0.03961748633879782,0.5
logistic_regression_05,logistic_regression,4,2.7262608960008947,71735,10247,0.08751655398341117,0.05787059627207963,0.18836691761847102,0.795260883220474,0.0,0.0,0.0,0.9420318141895189,9.758953840148337e-05,0.5
logistic_regression_06,logistic_regression,1,5.364863333998073,40991,10248,0.06681954575394598,0.0625487900078064,0.0842339948497092,0.5973709043084321,0.07096774193548387,0.2574102964118565,0.1112609575185435,0.7427790788446527,0.2268735362997658,0.5
logistic_regression_06,logistic_regression,2,7.4758778260002146,51239,10248,0.06596537793477625,0.20735753317720532,0.34669189271001843,0.6712873684744118,0.27381167540213264,0.7129411764705882,0.39566466440323844,0.5483996877439501,0.5399102263856362,0.5
logistic_regression_06,logistic_regression,3,4.5983170730032725,61487,10248,0.08953112039943403,0.07542935206869633,0.20910798780660872,0.7463236473732536,0.08259779884493844,0.9805950840879689,0.15236180904522614,0.17701014832162373,0.8954918032786885,0.5
logistic_regression_06,logistic_regression,4,6.117291720001958,71735,10247,0.08751655398341117,0.05787059627207963,0.1782443299070965,0.7887281036860186,0.16442451420029897,0.5564924114671164,0.25384615384615383,0.8106762955011223,0.1958622035717771,0.5
random_forest_01,random_forest,1,4.667263751995051,40991,10248,0.06681954575394598,0.0625487900078064,0.09372935283039639,0.6210889842900889,0.09961685823754789,0.12168486739469579,0.10955056179775281,0.8762685402029664,0.07640515222482436,0.5
random_forest_01,random_forest,2,6.185118064000562,51239,10248,0.06596537793477625,0.20735753317720532,0.3660035504133501,0.6935607968658347,0.474964234620887,0.15623529411764706,0.23512747875354106,0.7892271662763466,0.06820843091334895,0.5
random_forest_01,random_forest,3,7.923686649002775,61487,10248,0.08953112039943403,0.07542935206869633,0.22180948212323287,0.7532807449303164,0.17247210010145417,0.6597671410090556,0.2734584450402145,0.7355581576893052,0.288544106167057,0.5
random_forest_01,random_forest,4,9.8517129009997,71735,10247,0.08751655398341117,0.05787059627207963,0.14272511880458189,0.7193788732645312,0.24509803921568626,0.08431703204047218,0.12547051442910917,0.9319800917341661,0.019908265833902605,0.5
random_forest_02,random_forest,1,4.770329479004431,40991,10248,0.06681954575394598,0.0625487900078064,0.09510745369863764,0.6224023791804176,0.10551330798479087,0.1731669266770671,0.13112817483756645,0.8564597970335676,0.10265417642466823,0.5
random_forest_02,random_forest,2,6.22267411199573,51239,10248,0.06596537793477625,0.20735753317720532,0.3727771676939372,0.6950054674091722,0.44250363901018924,0.28611764705882353,0.3475278651043155,0.7772248243559718,0.13407494145199064,0.5
random_forest_02,random_forest,3,7.666817485995125,61487,10248,0.08953112039943403,0.07542935206869633,0.22772819406444073,0.7589736728027389,0.16193606214520467,0.7011642949547219,0.26310679611650484,0.7037470725995316,0.32660031225604996,0.5
