segment,rows,positives,prevalence,pr_auc,pr_auc_lift,roc_auc,brier_score,log_loss
<=250 km,4752,586,0.12331649831649831,0.22580605145460259,1.8311098233997807,0.6910912571950079,0.121456351032561,0.40576613874000433
250-500 km,3942,121,0.030695078640284118,0.10750731861563316,3.50242851225476,0.7109038566772145,0.07543708876404685,0.2963415153518815
500-1000 km,3548,133,0.037485907553551294,0.11513531668695484,3.0714293504159085,0.7576261297460342,0.10342143587825336,0.3578587893654296
1000-2000 km,1382,57,0.04124457308248915,0.09152463605026365,2.2190710003765677,0.6955047997351871,0.21449647533240176,0.6069123097328127
>2000 km,786,49,0.062340966921119595,0.13482162417424703,2.162648910223636,0.7524437183285798,0.22464938434403717,0.6330139698322665
