segment,rows,positives,prevalence,pr_auc,pr_auc_lift,roc_auc,brier_score,log_loss
<=1 h,8983,542,0.06033619058221084,0.09802029005831829,1.6245687557082533,0.6719623424761673,0.10785697835015647,0.36912595745956717
6-24 h,2306,156,0.06764960971379011,0.10285625371233295,1.5204264170553834,0.6653428741800835,0.1314531165410546,0.4270722466236889
24-72 h,2099,179,0.08527870414483087,0.1532971770817592,1.797602093265992,0.710733822160149,0.14803547708368625,0.4641652487486174
1-6 h,758,56,0.07387862796833773,0.10099669972722078,1.3670624713077384,0.6593406593406593,0.12310611995734982,0.4049154102570988
>72 h,322,19,0.059006211180124224,0.13487286272827623,2.285740094658155,0.693937814834115,0.13962676698509655,0.4448944503461592
