dataset,evaluation_status,rows,positives,prevalence,pr_auc,pr_auc_lift,roc_auc,brier_score,log_loss
development_oof,temporal_oof,40991,4132,0.10080261520821644,0.19065566780630128,1.891376204997119,0.6919452992772462,0.2015315921885605,0.5887981936091075
phase4a_test,observed_holdout_diagnostic,14468,952,0.06580038706110036,0.10797667634252196,1.6409732702979072,0.6796395681681965,0.11895292006902522,0.39571135109781663
