config_id,model_family,mean_pr_auc,std_pr_auc,min_pr_auc,max_pr_auc,mean_roc_auc,mean_recall,mean_precision,mean_f1,total_fit_seconds,params
xgboost_03,xgboost,0.22667279136972104,0.11449213481403754,0.10523887403920154,0.3738055933056219,0.719796248710158,0.513282754814591,0.19577501539851766,0.25547177971547036,8.98714396700234,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_lambda"": 2.0, ""scale_pos_weight"": ""auto"", ""subsample"": 0.85}"
xgboost_01,xgboost,0.22652385215195553,0.11137471153513286,0.10682626192495248,0.36629150228940166,0.7175245275357541,0.5583469796015162,0.17941478034542946,0.24813178286731022,7.490980272006709,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_lambda"": 2.0, ""scale_pos_weight"": ""auto"", ""subsample"": 0.85}"
xgboost_05,xgboost,0.22637186349859814,0.11234801004193262,0.10971719444758848,0.37293638592014877,0.7192618669999794,0.5776937859149949,0.1770314513266945,0.24954966777558446,14.481531757999619,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_lambda"": 2.0, ""scale_pos_weight"": ""auto"", ""subsample"": 0.85}"
xgboost_07,xgboost,0.22570535508730571,0.11345675651450643,0.1053971263076749,0.3730761869769096,0.7170083813971941,0.5082734198454513,0.19862874482452744,0.25747211904831113,13.02266232999682,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_lambda"": 2.0, ""scale_pos_weight"": ""auto"", ""subsample"": 0.85}"
xgboost_02,xgboost,0.22442207291584276,0.10438248982857762,0.11078755023921698,0.35650029667135763,0.7191343729685234,0.5826718149271354,0.17983592855877056,0.25301045380724235,11.778200369997649,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.07, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_lambda"": 2.0, ""scale_pos_weight"": ""auto"", ""subsample"": 0.85}"
xgboost_06,xgboost,0.2241529124748739,0.10556685518235731,0.11212649022842547,0.36191448339730964,0.7142107422988444,0.5826660824306846,0.17935304493970725,0.2519445595717167,11.553285750000214,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.07, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_lambda"": 2.0, ""scale_pos_weight"": ""auto"", ""subsample"": 0.85}"
hist_gradient_boosting_02,hist_gradient_boosting,0.2240320689274149,0.11325504919219745,0.1099011483859254,0.3751620586656992,0.7092974046321634,0.5221629125224426,0.19126132872904544,0.25161177985870425,20.802905043994542,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 30}"
xgboost_04,xgboost,0.2216013920671133,0.10886148845407348,0.10427011845121648,0.36217037096588606,0.7108621333753703,0.49668119070195077,0.2002018050112031,0.2565040234555234,8.464916855009506,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.07, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_lambda"": 2.0, ""scale_pos_weight"": ""auto"", ""subsample"": 0.85}"
hist_gradient_boosting_01,hist_gradient_boosting,0.22096537875846886,0.1162110982377644,0.10797018742126596,0.37563142199906135,0.7127164960177887,0.5408516512844299,0.1781897250692377,0.24453706226699962,27.44604493299994,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 30}"
hist_gradient_boosting_04,hist_gradient_boosting,0.22019102323422246,0.11878243779660021,0.10460337071113299,0.37974108713274535,0.7091608321431763,0.5276892326204321,0.1842511579195768,0.2480467354472903,20.261072457993578,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 30}"
hist_gradient_boosting_03,hist_gradient_boosting,0.21989639947443476,0.11630516898632062,0.10628067273315492,0.37390860747779503,0.7122628058485377,0.5366621861177715,0.1814404524987751,0.2473822412779183,19.097526322992053,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 30}"
logistic_regression_01,logistic_regression,0.21855529413851493,0.11883601327605889,0.08589757485837798,0.3735794431072451,0.7110707310204791,0.04205198957520739,0.39877717391304346,0.05760183873967159,7.699280895991251,"{""C"": 0.1, ""class_weight"": null}"
logistic_regression_03,logistic_regression,0.21565526750516265,0.11831396958306219,0.0840372551895518,0.3705242033550816,0.7080159665537451,0.04413965413650409,0.34735126324368376,0.058718089316061095,8.97004564099916,"{""C"": 1.0, ""class_weight"": null}"
xgboost_08,xgboost,0.21443758403906668,0.10514862724212773,0.10276365556399393,0.35169705474326524,0.7018975824190549,0.45161212752827296,0.20160081146031322,0.24698582220110787,14.88222294899606,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.07, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_lambda"": 2.0, ""scale_pos_weight"": ""auto"", ""subsample"": 0.85}"
logistic_regression_05,logistic_regression,0.2143958844496761,0.11656157373771686,0.08558047273633257,0.36764845425652803,0.7081704595357134,0.04425730119532762,0.33980351545006715,0.05909088376059408,9.86107119799999,"{""C"": 10.0, ""class_weight"": null}"
random_forest_04,random_forest,0.21174432258383782,0.11656370544622413,0.09658552154968554,0.36636465780151484,0.7028595840222818,0.2417153555921552,0.25920083502241453,0.1735685168553739,35.26727456400113,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 300}"
random_forest_02,random_forest,0.21024811072744393,0.12136245808221079,0.09510745369863764,0.3727771676939372,0.7010216039298091,0.3208879338674255,0.23416527091858658,0.22533141939711035,28.16680709199136,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 300}"
logistic_regression_02,logistic_regression,0.2089193861157748,0.11060167977952373,0.08534384308085863,0.3529300754600864,0.7048174686911813,0.634982970740893,0.15048369970431938,0.23197442376895616,11.559424799001135,"{""C"": 0.1, ""class_weight"": ""balanced""}"
random_forest_03,random_forest,0.20731039318143243,0.10944827704357665,0.09837620677189712,0.3516131743256199,0.697737536758019,0.10535580860325926,0.33657521286660363,0.09316250503473215,34.39254843499657,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}"
