segment,rows,positives,prevalence,pr_auc,pr_auc_lift,roc_auc,brier_score,log_loss
10-20 days,5803,244,0.042047216956746514,0.08721027745305045,2.0741034428690646,0.6658630665380906,0.12054499370935616,0.4077805465103424
20-30 days,4212,108,0.02564102564102564,0.0510432553959302,1.9906869604412778,0.6557671828748828,0.10636035843817962,0.35738798401750316
<=10 days,2964,589,0.1987179487179487,0.26276276362337625,1.3222900362982806,0.5800225180948978,0.1755492102951404,0.5352582958261369
30-40 days,1244,11,0.008842443729903537,0.028526726473322755,3.2261134302557735,0.7387008773870087,0.04030772124533168,0.19420903670691966
